,AUD_l,SS_l,ENT_l,EP_l,Isocortex_l,AI_l,CTXsp_l,SSp_l,VIS_l,HEM_l,COA_l,RHP_l,CA_l,GENv_l,CN_l,PTLp_l,STRd_l,sAMY_l,GENd_l,PALd_l,HIP_l,DORpm_l,OLF_l,VP_l,MO_l,CBN_l,P-sen_l,MY-sen_l,PALv_l,LAT_l,STRv_l,MBsta_l,LZ_l,VNC_l,VENT_l,MBsen_l,ATN_l,PRT_l,ORB_l,SPF_l,PGRN_l,MDRN_l,MY-mot_l,PALc_l,MBmot_l,DORsm_l,RSP_l,VERM_l,TM_l,ILM_l,P-mot_l,HY_l,DCN_l,P-sat_l,LS_l,MSC_l,MEZ_l,MED_l,MBO_l,ACA_l,PVR_l,EPI_l,LSX_l,PALm_l,PHY_l,PVZ_l,MTN_l,RAmb_l,MY-sat_l,MY-sat_r,RAmb_r,MTN_r,PVZ_r,PHY_r,PALm_r,LSX_r,EPI_r,PVR_r,ACA_r,MBO_r,MED_r,MEZ_r,MSC_r,LS_r,P-sat_r,DCN_r,HY_r,P-mot_r,ILM_r,TM_r,VERM_r,DORsm_r,RSP_r,MBmot_r,PALc_r,MY-mot_r,MDRN_r,PGRN_r,SPF_r,ORB_r,PRT_r,ATN_r,MBsen_r,VENT_r,VNC_r,LZ_r,MBsta_r,STRv_r,LAT_r,PALv_r,MY-sen_r,P-sen_r,CBN_r,MO_r,VP_r,OLF_r,DORpm_r,HIP_r,PALd_r,GENd_r,sAMY_r,STRd_r,PTLp_r,CN_r,GENv_r,CA_r,RHP_r,COA_r,HEM_r,VIS_r,SSp_r,CTXsp_r,AI_r,Isocortex_r,EP_r,ENT_r,SS_r,AUD_r
A2ds221_sitich_terafly_ver4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,390.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,206.0,77806.0,0.0,49033.0,3714.0,0.0,75510.0,0.0,0.0,372.0,16154.0,202.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,13.0,0.0,13163.0,0.0,0.0,0.0,0.0,92345.0,0.0,366.0,0.0,1322.0,0.0,113005.0,0.0,5395641.0,0.0,586253.0,0.0,0.0,0.0,6.0,2694.0,2829060.0,0.0,0.0,31601.0,0.0,54959.0,82171.0,0.0,0.0,2117.0,0.0,0.0,7259.0,0.0,0.0,0.0,8514.0,34250.0,228.0,80328.0,0.0,0.0,0.0
A3_Pos_p5um_nv6_dsk_correction_result_9.29ver_terafly,0.0,34.0,1850.0,0.0,113837.0,0.0,9779.0,74374.0,3452.0,26300.0,18237.0,12258.0,1616891.0,368715.0,16299.0,6690.0,32663.0,15765.0,30902.0,160993.0,793323.0,9953.0,15667.0,2599041.0,26599.0,28093.0,159212.0,53747.0,81090.0,715167.0,173205.0,23028.0,9845584.0,17741.0,521104.0,859495.0,881221.0,202602.0,242.0,58818.0,67.0,4854.0,99572.0,535866.0,1085040.0,790552.0,96996.0,22364.0,286.0,624019.0,97107.0,236987.0,0.0,170571.0,45952.0,48387.0,3723998.0,1599045.0,25212.0,47970.0,938492.0,81061.0,34890.0,18102.0,20474.0,6336956.0,3032483.0,22513.0,286.0,422.0,3144.0,849499.0,784836.0,0.0,115.0,3667.0,488.0,101181.0,8905.0,6468.0,271943.0,211978.0,3814.0,6978.0,0.0,0.0,0.0,547.0,370876.0,392.0,579.0,160724.0,20742.0,51988.0,6488.0,1402.0,716.0,0.0,13082.0,1900020.0,100.0,22711.0,40142.0,23444.0,0.0,139222.0,0.0,5015.0,872.0,484.0,966.0,472.0,0.0,1249.0,229210.0,64599.0,0.0,477.0,61.0,0.0,4644.0,20151.0,26.0,0.0,10137.0,771.0,12980.0,0.0,0.0,0.0,0.0,0.0,0.0,264497.0,0.0,0.0,0.0,0.0
WHOLE_mouse_Brain_AZ10_SR3B_6_A_647,2865.0,11561.0,8779.0,5926.0,183913.0,71356.0,7628.0,7468.0,24527.0,107051.0,1357.0,10919.0,6846.0,3105.0,7070.0,960.0,2564.0,3943.0,8346.0,72942.0,25484.0,291.0,87450.0,19287.0,257019.0,55014.0,339809.0,423630.0,35004.0,6071.0,139069.0,6848.0,61346.0,28054.0,5535.0,229071.0,3050.0,12184.0,36697.0,851.0,322.0,23644.0,994674.0,175.0,442102.0,6987.0,13083.0,190095.0,0.0,6158.0,136748.0,6964.0,13349.0,47671.0,111.0,1263.0,690.0,3010.0,7668.0,180274.0,5237.0,817.0,99.0,225.0,14851.0,11297.0,2266.0,122727.0,22357.0,21634.0,46858.0,3794.0,99746.0,4101.0,8241.0,259.0,5221.0,16615.0,2177033.0,23770.0,30560.0,2701.0,908.0,992.0,45771.0,3930.0,121150.0,458613.0,89648.0,0.0,17442.0,157255.0,1088633.0,3236898.0,7449.0,70663.0,2002.0,16.0,41480.0,331493.0,250692.0,18513.0,1064651.0,63594.0,7973.0,773255.0,56766.0,2106913.0,185127.0,209085.0,202203.0,147547.0,5076.0,4961787.0,254598.0,267068.0,13349.0,17894.0,773788.0,27372.0,6804.0,41801.0,175588.0,1849.0,74474.0,6534.0,18092.0,4535.0,29241.0,243333.0,1716672.0,7066.0,644585.0,1786284.0,43124.0,8666.0,218920.0,140917.0
190891,892.0,4.0,330.0,6.0,52.0,105.0,1.0,753.0,270.0,4662.0,35.0,175.0,157.0,316.0,500.0,262.0,129.0,143.0,163.0,32.0,285.0,6.0,5608.0,1040.0,1015.0,1451.0,6615.0,8262.0,57.0,490.0,249.0,59.0,481.0,4423.0,233.0,2713.0,43.0,45.0,157.0,11.0,480.0,638.0,8139.0,8.0,2804.0,46.0,612.0,3259.0,19.0,77.0,5202.0,11.0,817.0,2046.0,2.0,11.0,123.0,199.0,113.0,473.0,61.0,26.0,5.0,82.0,358.0,164.0,38.0,472.0,228.0,185.0,617.0,0.0,156.0,249.0,155.0,9.0,36.0,131.0,5116.0,186.0,177.0,61.0,8.0,5.0,1568.0,880.0,4.0,5135.0,54.0,13.0,4456.0,35.0,305.0,3043.0,2.0,8261.0,314.0,229.0,1.0,152.0,26.0,14.0,5928.0,57.0,4600.0,436.0,97.0,247.0,138.0,77.0,5560.0,5511.0,830.0,1971.0,462.0,5998.0,12.0,319.0,78.0,75.0,110.0,72.0,5.0,488.0,332.0,198.0,234.0,64.0,3632.0,39.0,735.0,314.0,44.0,797.0,23.0,214.0,52.0,15.0
190892,0.0,0.0,68.0,0.0,14.0,2.0,0.0,65.0,0.0,102455.0,0.0,11.0,6.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,2826.0,4.0,40.0,2.0,1167.0,2140.0,0.0,9.0,66.0,0.0,2.0,2428.0,0.0,508.0,0.0,6.0,0.0,0.0,46.0,87.0,770.0,0.0,467.0,0.0,17.0,476.0,0.0,0.0,1517.0,7.0,92.0,471.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,110.0,18.0,0.0,120.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,452.0,124.0,0.0,1112.0,3.0,0.0,345.0,16.0,14.0,355.0,0.0,703.0,12.0,67.0,0.0,0.0,0.0,0.0,513.0,1.0,1050.0,21.0,3.0,1.0,5.0,0.0,490.0,1017.0,36.0,126.0,9.0,2651.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,31.0,0.0,1583.0,0.0,107.0,56.0,0.0,65.0,0.0,100.0,7.0,4.0
190900,0.0,0.0,0.0,0.0,4.0,0.0,1.0,39.0,4.0,6078.0,207.0,14.0,4.0,11.0,21.0,0.0,2.0,0.0,0.0,1.0,19.0,2.0,2306.0,9.0,43.0,61.0,433.0,193.0,1.0,18.0,14.0,6.0,44.0,422.0,0.0,198.0,0.0,31.0,1.0,1.0,63.0,11.0,311.0,0.0,242.0,76.0,4.0,21450.0,0.0,3.0,1021.0,0.0,22.0,220.0,0.0,0.0,0.0,17.0,27.0,2.0,0.0,0.0,2.0,0.0,8.0,14.0,0.0,152.0,0.0,9.0,115.0,0.0,15.0,18.0,0.0,0.0,1.0,0.0,4.0,2.0,14.0,4.0,0.0,0.0,303.0,4.0,0.0,380.0,18.0,0.0,319.0,8.0,89.0,348.0,0.0,335.0,24.0,37.0,0.0,10.0,7.0,1.0,534.0,0.0,613.0,71.0,10.0,51.0,34.0,0.0,541.0,477.0,11.0,1103.0,22.0,2535.0,0.0,33.0,0.0,1.0,13.0,0.0,0.0,5.0,5.0,5.0,2.0,7.0,588.0,9.0,2411.0,0.0,0.0,3.0,0.0,90.0,6.0,14.0
190902,0.0,3.0,10.0,0.0,4.0,9.0,0.0,125.0,5.0,398.0,6.0,9.0,18.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,2636.0,7.0,15.0,7.0,284.0,165.0,0.0,13.0,200.0,5.0,53.0,334.0,2.0,537.0,0.0,8.0,5.0,5.0,6.0,16.0,213.0,0.0,78.0,1.0,132.0,548.0,0.0,18.0,145.0,0.0,7.0,89.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,39.0,3.0,0.0,11.0,23.0,0.0,19.0,0.0,0.0,8.0,3.0,19.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,111.0,47.0,0.0,87.0,27.0,0.0,566.0,2.0,291.0,128.0,0.0,173.0,9.0,3.0,0.0,1.0,0.0,0.0,74.0,0.0,784.0,22.0,0.0,302.0,20.0,1.0,293.0,124.0,2.0,15.0,45.0,67159.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,9.0,583.0,70.0,4.0,15.0,267.0,12.0,12.0,40.0,14.0,0.0,0.0,5.0,0.0,0.0
191196,0.0,39.0,0.0,71.0,2619.0,237.0,6.0,160.0,0.0,36.0,0.0,0.0,6.0,0.0,0.0,0.0,42.0,10.0,0.0,3.0,0.0,0.0,5197.0,4.0,442.0,0.0,5.0,45.0,5.0,0.0,488.0,0.0,4.0,34.0,0.0,12.0,0.0,0.0,4098.0,0.0,1.0,18.0,161.0,1.0,4.0,0.0,0.0,289.0,0.0,0.0,9.0,0.0,13.0,0.0,30.0,0.0,0.0,0.0,0.0,186.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,2.0,223.0,0.0,2.0,123.0,0.0,52.0,4.0,0.0,4.0,16.0,0.0,0.0,356.0,0.0,0.0,45.0,1.0,8.0,5.0,0.0,0.0,2668.0,7.0,0.0,36.0,0.0,1.0,64.0,1.0,2140.0,0.0,201.0,21.0,4.0,0.0,6763.0,0.0,1366.0,0.0,2.0,174.0,0.0,166.0,30.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,299.0,21.0,809.0,63.0,187.0,0.0,36.0,13.0
193374,0.0,99.0,0.0,11.0,122.0,57.0,11.0,28784.0,0.0,121.0,0.0,114.0,0.0,17.0,0.0,0.0,1.0,17.0,0.0,326.0,17.0,0.0,686.0,309.0,2536.0,7.0,435.0,881.0,94.0,837.0,2133.0,239.0,299.0,111.0,28.0,2129.0,0.0,62.0,44.0,22.0,3.0,248.0,302.0,0.0,2520.0,31.0,17.0,440.0,0.0,14.0,2169.0,0.0,4.0,531.0,2.0,0.0,1.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,188.0,0.0,53.0,22.0,17.0,39.0,2.0,4.0,45.0,0.0,0.0,4.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,82.0,280.0,0.0,309.0,1.0,0.0,362.0,0.0,5.0,252.0,1.0,3796.0,915.0,130.0,8.0,1.0,26.0,0.0,208.0,24.0,225.0,1.0,0.0,22.0,38.0,0.0,2912.0,493.0,11.0,19.0,39.0,641.0,0.0,29.0,0.0,9.0,3.0,0.0,15.0,0.0,4.0,3.0,1.0,0.0,90.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
193381,0.0,12.0,12.0,1.0,4.0,4.0,4.0,163.0,10.0,403.0,0.0,57.0,26.0,4.0,8.0,61.0,25.0,0.0,0.0,18.0,7.0,1.0,3152.0,33.0,2364.0,9.0,297.0,345.0,2.0,39.0,271.0,2.0,223.0,330.0,68.0,307.0,0.0,52.0,4.0,27.0,1.0,5.0,356.0,86.0,450.0,20.0,253.0,317.0,0.0,16.0,238.0,21.0,26.0,128.0,3.0,1.0,0.0,7.0,0.0,69.0,0.0,3.0,124.0,0.0,2.0,127.0,0.0,15.0,17.0,7.0,39.0,1.0,5.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,145.0,0.0,2.0,112.0,59.0,0.0,81.0,6.0,0.0,254.0,0.0,25.0,95.0,0.0,379.0,214.0,4.0,0.0,2.0,16.0,2.0,211.0,0.0,362.0,1.0,0.0,0.0,16.0,0.0,328.0,237.0,0.0,10.0,14.0,7006.0,0.0,37.0,1.0,4.0,3.0,0.0,0.0,30.0,28.0,25.0,3.0,1.0,181.0,20.0,20.0,14.0,3.0,0.0,0.0,125.0,3.0,0.0
193385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,90.0,0.0,0.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,154.0,0.0,22.0,19.0,0.0,0.0,3.0,0.0,2.0,31.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,10.0,0.0,5756.0,0.0,0.0,0.0,24.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,15.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193386,0.0,1981.0,129.0,1172.0,1258.0,946.0,18.0,10653.0,94.0,250304.0,0.0,3375.0,1133.0,1673.0,6.0,106.0,693.0,8639.0,15.0,13089.0,5248.0,110.0,1633.0,4032.0,214525.0,0.0,4685.0,14558.0,9271.0,1510.0,77813.0,2690.0,39877.0,195.0,783.0,11895.0,3.0,3692.0,6820.0,2129.0,58.0,1606.0,7836.0,0.0,27380.0,3006.0,326.0,263.0,0.0,1637.0,24109.0,4351.0,11.0,3667.0,2.0,0.0,0.0,325.0,0.0,36.0,1.0,6.0,0.0,1.0,48.0,6289.0,6.0,325.0,266.0,83.0,106.0,0.0,12.0,21.0,0.0,0.0,0.0,0.0,22.0,0.0,171.0,0.0,0.0,0.0,399.0,219.0,8.0,2097.0,175.0,0.0,296.0,69.0,6.0,347.0,0.0,6074.0,338.0,151.0,11.0,114.0,18.0,0.0,324.0,54.0,630.0,51.0,0.0,885.0,7.0,6.0,5654.0,2865.0,0.0,758.0,8.0,874.0,0.0,6.0,0.0,1.0,11.0,18.0,0.0,25.0,6.0,8.0,7.0,0.0,130.0,1.0,167.0,72.0,97.0,170.0,103.0,0.0,72.0,0.0
193387,0.0,39.0,41.0,163.0,45.0,1285.0,11.0,851.0,1688.0,64.0,0.0,102.0,127.0,128.0,0.0,0.0,227.0,1942.0,0.0,5536.0,135.0,10.0,1080.0,335.0,46663.0,10.0,1230.0,568.0,12737.0,42.0,16757.0,56.0,5494.0,164.0,20.0,5241.0,22.0,521.0,2.0,31.0,22.0,36.0,1081.0,0.0,5692.0,123.0,8.0,92.0,0.0,49.0,6912.0,256.0,28.0,309.0,6.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,88.0,0.0,14.0,79.0,62.0,23.0,2.0,8.0,100.0,0.0,1.0,0.0,0.0,2.0,0.0,15.0,4.0,0.0,0.0,48.0,62.0,16.0,414.0,15.0,0.0,155.0,17.0,205.0,95.0,0.0,3106.0,110.0,93.0,0.0,2.0,6.0,3.0,74.0,3.0,194.0,30.0,0.0,10.0,41.0,0.0,3019.0,439.0,5.0,238.0,28.0,10238.0,0.0,9.0,0.0,39.0,1165.0,0.0,0.0,4.0,0.0,14.0,2.0,14.0,44.0,2.0,151.0,13.0,0.0,4.0,0.0,24.0,0.0,0.0
15257,14685.0,31444.0,7823.0,11768.0,27325.0,14889.0,246761.0,92357.0,58821.0,129509.0,11686.0,22540.0,16544.0,5280.0,2375.0,10874.0,564834.0,534826.0,3980.0,42265.0,9308.0,3028.0,383664.0,9487.0,70271.0,14878.0,166953.0,377509.0,343172.0,9554.0,818586.0,1359.0,887971.0,102971.0,3697.0,177899.0,4934.0,15834.0,22297.0,6909.0,21605.0,50001.0,778489.0,70761.0,167235.0,19333.0,36863.0,136823.0,592.0,8315.0,92295.0,4583.0,16534.0,12517.0,657522.0,169335.0,235554.0,9195.0,26182.0,114916.0,317979.0,1893.0,174315.0,232194.0,90231.0,393509.0,20382.0,24556.0,438.0,2833.0,19959.0,17921.0,451512.0,58677.0,277229.0,205458.0,2070.0,426076.0,37990.0,34119.0,5985.0,291436.0,231079.0,661456.0,10386.0,11386.0,4278.0,80570.0,6023.0,642.0,112116.0,15242.0,54861.0,177949.0,52276.0,732852.0,56621.0,12668.0,5076.0,16386.0,10587.0,2667.0,140273.0,2577.0,78168.0,727475.0,1185.0,415184.0,9875.0,218910.0,477894.0,142131.0,11933.0,69391.0,6074.0,340765.0,2039.0,8854.0,29689.0,3580.0,433054.0,610704.0,8662.0,702.0,5572.0,23708.0,43475.0,9385.0,96516.0,53414.0,66097.0,254611.0,8859.0,30211.0,18078.0,11126.0,24725.0,12137.0
17051,91.0,555.0,1.0,290.0,537.0,515.0,139.0,6101.0,12.0,1162.0,105.0,5.0,56.0,73.0,0.0,1.0,321.0,90.0,2.0,45.0,2.0,0.0,2776.0,240.0,2368.0,0.0,34.0,46.0,4548.0,20.0,51855.0,0.0,194.0,0.0,16.0,459.0,0.0,11.0,548.0,0.0,0.0,0.0,35.0,6.0,78.0,153.0,77.0,1919.0,0.0,24.0,2.0,0.0,0.0,0.0,179.0,0.0,0.0,55.0,0.0,256.0,66.0,76.0,16.0,139.0,0.0,92.0,0.0,57.0,0.0,0.0,0.0,40.0,57.0,26.0,64.0,0.0,0.0,0.0,318.0,0.0,233.0,0.0,0.0,36.0,81.0,0.0,0.0,41.0,0.0,0.0,762.0,463.0,254.0,464.0,25.0,52.0,0.0,0.0,2.0,439.0,0.0,54.0,246.0,373.0,35.0,146.0,0.0,87575.0,70.0,4996.0,14.0,17.0,8.0,954.0,3026.0,2000.0,0.0,179.0,27.0,8.0,287.0,659.0,49.0,0.0,398.0,213.0,30.0,81.0,328.0,38.0,1593.0,276.0,447.0,2084.0,33.0,266.0,845.0,96.0
17052,324.0,786.0,2104.0,2397.0,4450.0,251.0,648.0,4317.0,873.0,2665872.0,0.0,0.0,1713.0,152.0,1673.0,217.0,0.0,0.0,0.0,288.0,1.0,0.0,34388.0,198.0,4556.0,70633.0,13049.0,2911.0,150.0,189.0,544.0,8.0,62.0,10064.0,0.0,64296.0,0.0,0.0,8521.0,0.0,2.0,0.0,14760.0,0.0,930.0,108.0,656.0,2789802.0,0.0,0.0,311.0,199.0,3058.0,433.0,0.0,0.0,0.0,51.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,2.0,0.0,0.0,0.0,338.0,6667.0,16.0,861.0,16.0,0.0,2859511.0,46.0,85.0,1279.0,0.0,19869.0,0.0,0.0,2.0,1007.0,0.0,0.0,41319.0,243.0,18677.0,22.0,0.0,109.0,39.0,21.0,3030.0,10816.0,95361.0,49652.0,588.0,114670.0,0.0,17.0,413.0,0.0,0.0,0.0,197.0,3099.0,129.0,1.0,1.0,0.0,3191779.0,224.0,1984.0,0.0,0.0,18035.0,0.0,4.0,470.0,687.0
17109,188246.0,214175.0,166572.0,83969.0,286582.0,302646.0,120752.0,481261.0,373967.0,716472.0,77427.0,137524.0,233327.0,17468.0,7230.0,56509.0,35332.0,50156.0,22560.0,19825.0,115862.0,2803.0,587425.0,39284.0,533330.0,33834.0,174494.0,247030.0,45486.0,37533.0,425610.0,2361.0,78966.0,50156.0,15090.0,316289.0,16062.0,28506.0,102148.0,5461.0,4045.0,40427.0,306370.0,12921.0,339637.0,12862.0,278693.0,665841.0,157.0,25702.0,138134.0,5348.0,20257.0,58416.0,19201.0,5498.0,30700.0,46898.0,21496.0,126592.0,30766.0,8616.0,13992.0,22033.0,15368.0,42358.0,9870.0,23853.0,3549.0,4699.0,16979.0,9688.0,35802.0,17942.0,18726.0,13782.0,8279.0,21061.0,147833.0,19100.0,46515.0,21980.0,4166.0,35045.0,47411.0,16949.0,5408.0,125387.0,27696.0,731.0,688333.0,16223.0,184572.0,316715.0,9189.0,261906.0,37107.0,2277.0,6124.0,84978.0,42921.0,15583.0,313973.0,15210.0,57345.0,83587.0,3194.0,329331.0,66924.0,49515.0,187199.0,140017.0,28048.0,448133.0,62190.0,598579.0,6380.0,112061.0,16947.0,33453.0,45570.0,34975.0,56855.0,8592.0,26023.0,209849.0,107386.0,57594.0,707640.0,350568.0,532240.0,107550.0,474365.0,462746.0,69299.0,177139.0,298733.0,181077.0
17298,697793.0,1387792.0,60192.0,470492.0,1165313.0,1710257.0,204735.0,1199449.0,424347.0,313893.0,35245.0,119325.0,436178.0,33656.0,2676.0,94014.0,60920.0,153075.0,40728.0,27708.0,118227.0,8216.0,1325231.0,113055.0,1608701.0,62531.0,189055.0,171520.0,78850.0,91027.0,827055.0,5597.0,122613.0,82591.0,41430.0,493939.0,37389.0,60377.0,475729.0,8206.0,10347.0,31355.0,324925.0,21104.0,517821.0,22271.0,171979.0,513660.0,23.0,39993.0,236566.0,3527.0,7279.0,102708.0,34095.0,6535.0,36428.0,68215.0,14212.0,289769.0,31479.0,12177.0,19805.0,18867.0,15263.0,49074.0,20695.0,48704.0,3081.0,3681.0,48669.0,25148.0,66754.0,21479.0,40363.0,19645.0,8649.0,42440.0,333796.0,13064.0,65405.0,45050.0,7357.0,51108.0,90686.0,8686.0,4881.0,189443.0,35271.0,12.0,568202.0,24326.0,225294.0,501224.0,24382.0,349385.0,38958.0,6296.0,11650.0,490592.0,64118.0,29463.0,486048.0,39498.0,54400.0,148241.0,6927.0,1066930.0,76697.0,97206.0,159727.0,187988.0,60805.0,1798339.0,118924.0,1512562.0,6483.0,112917.0,32151.0,41835.0,175068.0,79135.0,93177.0,5797.0,33453.0,386581.0,113320.0,46602.0,349396.0,391068.0,1942819.0,275395.0,2131144.0,1485637.0,618439.0,91144.0,1805904.0,610301.0
17300,146194.0,526446.0,116883.0,195517.0,390107.0,220287.0,192767.0,1620702.0,307728.0,312112.0,93847.0,200453.0,273963.0,32938.0,13352.0,167666.0,144205.0,144288.0,44334.0,58248.0,215740.0,7418.0,2623270.0,65221.0,502943.0,40730.0,158705.0,79824.0,229710.0,68488.0,2740299.0,9224.0,105734.0,52648.0,30316.0,519640.0,29815.0,50622.0,165533.0,6498.0,8139.0,6963.0,141999.0,23459.0,658580.0,20428.0,326970.0,437478.0,153.0,39251.0,129740.0,5419.0,16458.0,71209.0,26852.0,7386.0,41253.0,82963.0,16369.0,156480.0,74418.0,19577.0,12688.0,40889.0,6604.0,58087.0,20575.0,53776.0,2532.0,1137.0,41455.0,21482.0,60816.0,6671.0,47522.0,15832.0,30386.0,73649.0,231797.0,16338.0,62617.0,34998.0,8708.0,37092.0,88013.0,18639.0,6830.0,103309.0,48055.0,100.0,424233.0,30709.0,392811.0,666262.0,27843.0,144589.0,5762.0,5005.0,8328.0,167333.0,56876.0,17321.0,483000.0,30660.0,48532.0,129523.0,7942.0,2480069.0,107921.0,146780.0,87423.0,157544.0,34731.0,550397.0,100790.0,3032125.0,5038.0,265336.0,56203.0,42113.0,188015.0,148225.0,87855.0,10745.0,35611.0,347928.0,257219.0,114458.0,464890.0,413447.0,1818092.0,263850.0,450333.0,783753.0,355167.0,210157.0,904731.0,281154.0
17301,76146.0,27880.0,240528.0,19192.0,109767.0,14918.0,71812.0,266573.0,766208.0,55129.0,6450.0,416993.0,1721573.0,18427.0,1404.0,145960.0,41623.0,35189.0,12359.0,14843.0,531466.0,935.0,180771.0,28643.0,97702.0,1409.0,140551.0,29661.0,42822.0,24095.0,125708.0,2145.0,102975.0,2824.0,19659.0,283253.0,16218.0,31253.0,16081.0,1958.0,847.0,1398.0,15717.0,6815.0,626425.0,11010.0,380358.0,17860.0,4.0,17829.0,93556.0,324.0,630.0,471672.0,48024.0,13705.0,13533.0,16391.0,2710.0,32103.0,9063.0,18873.0,15357.0,20984.0,600.0,27543.0,10771.0,84464.0,31063.0,41485.0,71952.0,15680.0,52816.0,3172.0,31526.0,12600.0,23374.0,14742.0,41076.0,8266.0,22759.0,23087.0,11958.0,40311.0,403787.0,490.0,280.0,39656.0,17141.0,31.0,45566.0,12183.0,516413.0,650692.0,7693.0,40474.0,3452.0,2124.0,1731.0,20164.0,23102.0,15174.0,383484.0,17488.0,6235.0,125124.0,2664.0,185573.0,59711.0,70913.0,47093.0,112116.0,5438.0,144359.0,24283.0,218708.0,1801.0,534373.0,24873.0,8867.0,41705.0,53415.0,150252.0,1696.0,18970.0,1726387.0,537226.0,6912.0,15639.0,1015246.0,107226.0,98009.0,25875.0,93252.0,26679.0,146446.0,26245.0,105805.0
17302,10196.0,15951.0,13557.0,12057.0,18285.0,6431.0,26234.0,37726.0,13799.0,5042.0,4439.0,58670.0,460741.0,8535.0,0.0,4624.0,28094.0,8459.0,10976.0,18665.0,150361.0,94.0,157917.0,21249.0,2064.0,0.0,137.0,153.0,839819.0,6773.0,7457736.0,66.0,100.0,1.0,0.0,7109.0,619.0,46.0,5002.0,8.0,0.0,0.0,349.0,542.0,21126.0,2239.0,8656.0,2249.0,0.0,1216.0,506.0,0.0,1.0,0.0,89.0,0.0,3.0,3187.0,8.0,819.0,4.0,1023.0,11.0,8062.0,0.0,91.0,641.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,3247.0,148.0,2.0,12.0,473.0,17.0,159.0,0.0,0.0,99.0,0.0,0.0,0.0,6.0,211.0,0.0,737.0,1024.0,12152.0,29724.0,619.0,828.0,0.0,0.0,405.0,7105.0,147.0,885.0,5514.0,4390.0,30.0,1527.0,0.0,5405133.0,1158.0,823246.0,177.0,1.0,0.0,3757.0,14944.0,359801.0,2457.0,84753.0,29795.0,11359.0,13114.0,43924.0,73.0,0.0,4999.0,140543.0,41058.0,4468.0,1732.0,14030.0,48826.0,22713.0,29309.0,50127.0,31262.0,6111.0,15030.0,13492.0
